officename,pincode,latitude,longitude
Mumbai GPO,400001,18.9398,72.8354
Delhi GPO,110001,28.6363,77.2245
Chennai GPO,600001,13.0827,80.2707
Kolkata GPO,700001,22.5726,88.3639
Bangalore GPO,560001,12.9716,77.5946
Hyderabad GPO,500001,17.3850,78.4867
Ahmedabad GPO,380001,23.0225,72.5714
Pune GPO,411001,18.5204,73.8567
Lucknow GPO,226001,26.8467,80.9462
Jaipur GPO,302001,26.9124,75.7873
Patna GPO,800001,25.5941,85.1376
Bhopal GPO,462001,23.2599,77.4126
Chandigarh GPO,160017,30.7333,76.7794
Thiruvananthapuram GPO,695001,8.5241,76.9366
Guwahati GPO,781001,26.1445,91.7362
Bhubaneswar GPO,751001,20.2961,85.8245
Dehradun GPO,248001,30.3165,78.0322
Shimla GPO,171001,31.1048,77.1734
Raipur GPO,492001,21.2514,81.6296
Ranchi GPO,834001,23.3441,85.3096
